# Dataset for pandas demo
Symbol	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45
ABCA1	7.497116731	8.184736749	8.384009398	8.65438467	8.705770522	9.26648482	9.097249151	8.980060919	8.911097678	9.377178138	9.142381337	9.314740918	9.622009981	9.543454905	9.559485922	10.09439243
ABCC11	9.681142957	9.687134826	9.49825476	9.357437852	9.189169252	9.049326676	8.976152936	8.978853536	8.967796521	8.912374729	8.851690248	8.787109616	8.679718577	8.771382134	8.633314874	8.703377028
ABCC3	12.83482606	12.84194668	12.92411257	12.81094992	12.99056754	12.791429	12.41025013	12.34384557	11.68233944	11.36950698	11.18839114	11.10552781	11.34328487	11.15168084	11.21440098	10.92878992
ABLIM1	10.7860004	10.91250526	11.06039427	11.0910414	11.16666232	11.29352202	11.35500753	11.33117747	11.64991659	11.62212594	11.73384249	11.77256325	11.90973038	11.72467361	11.83519171	11.72062086
ABP1	7.943247271	8.121638172	8.293620753	8.314715563	8.345499376	8.414776236	8.36845853	8.539608696	8.64992069	8.6988236	8.688555217	8.762337873	9.098345497	9.294048507	9.323448736	9.729670972
ACBD7	8.571853656	8.645659052	8.178287266	8.954513425	9.435023017	9.078535109	9.2624876	9.067590677	9.194799119	9.332174774	9.220038474	8.932506164	8.450137826	8.102149302	8.139600924	8.084120316
ACLY	13.38196178	13.24626148	13.09728474	12.91749293	12.43076736	12.44015787	12.46656723	12.18045433	12.64753519	12.20852609	12.50347525	12.34801798	12.35783887	12.3264496	12.1889899	12.39750674
ACOT4	11.7287195	11.62999934	10.92392212	10.62469693	10.43144537	10.40216654	10.31107126	10.44754862	10.58336376	10.77085528	10.77085528	10.79290571	10.94361319	11.11945279	11.09223773	11.08452152
ACOT7	13.59825295	13.60482672	13.33980503	12.8074341	11.9484404	11.81103654	11.64536768	11.71621356	11.87413909	11.74207263	11.70180897	11.55468854	11.1213639	11.2106888	11.15915314	11.07419312
ACPP	9.848120609	10.14754942	10.33749716	10.46498884	10.33127327	10.65709036	10.69161943	10.77230911	10.77782072	11.0022024	10.90816267	10.87399588	10.87991296	11.05374176	10.85956665	10.46941019
ACTA2	10.50094872	10.44200606	10.56571613	10.57268457	10.10982695	9.96871979	9.803729531	9.749835476	9.986768063	9.984798111	9.766164233	9.49390747	9.342968498	9.289321124	9.072335176	9.495864548
