,Gene,GO
0,Gene3,GO66
1,Gene22,GO250
2,Gene74,GO233
3,Gene91,GO489
4,Gene99,GO88
5,Gene11,GO107
6,Gene95,GO112
7,Gene90,GO482
8,Gene93,GO151
9,Gene97,GO119
10,Gene23,GO93
11,Gene62,GO427
12,Gene92,GO254
13,Gene24,GO192
14,Gene75,GO425
15,Gene52,GO353
16,Gene17,GO402
17,Gene83,GO134
18,Gene15,GO500
19,Gene41,GO417
20,Gene43,GO218
21,Gene42,GO334
22,Gene67,GO249
23,Gene39,GO227
24,Gene64,GO40
25,Gene79,GO313
26,Gene38,GO138
27,Gene8,GO103
28,Gene30,GO257
29,Gene9,GO36
30,Gene94,GO52
31,Gene58,GO190
32,Gene32,GO242
33,Gene51,GO42
34,Gene70,GO440
35,Gene66,GO253
36,Gene29,GO429
37,Gene78,GO56
38,Gene63,GO171
39,Gene18,GO49
40,Gene89,GO438
41,Gene26,GO115
42,Gene48,GO344
43,Gene53,GO329
44,Gene46,GO376
45,Gene1,GO271
46,Gene7,GO424
47,Gene40,GO400
48,Gene98,GO325
49,Gene50,GO410
50,Gene96,GO418
51,Gene54,GO414
52,Gene28,GO409
53,Gene81,GO166
54,Gene72,GO214
55,Gene77,GO423
56,Gene49,GO195
57,Gene56,GO162
58,Gene61,GO237
59,Gene55,GO363
60,Gene13,GO139
61,Gene27,GO487
62,Gene19,GO124
63,Gene69,GO236
64,Gene16,GO200
65,Gene57,GO447
66,Gene71,GO222
67,Gene37,GO345
68,Gene21,GO106
69,Gene14,GO264
70,Gene10,GO403
71,Gene6,GO205
72,Gene87,GO469
73,Gene2,GO279
74,Gene12,GO485
75,Gene33,GO292
76,Gene47,GO460
77,Gene82,GO379
78,Gene85,GO491
79,Gene45,GO59
80,Gene31,GO299
81,Gene76,GO185
82,Gene34,GO131
83,Gene36,GO362
84,Gene84,GO493
85,Gene80,GO69
86,Gene20,GO291
87,Gene60,GO450
88,Gene4,GO281
89,Gene44,GO453
90,Gene35,GO219
91,Gene5,GO167
92,Gene59,GO84
93,Gene86,GO246
94,Gene73,GO265
95,Gene65,GO161
96,Gene25,GO102
97,Gene100,GO473
98,Gene68,GO188
99,Gene88,GO326
