## This file contains the gene expression for genes 1-100 
## The each column represents one sample and we have a total of 10 samples
Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
Gene1	76.85	29.53	7.57	92.21	41.48	7.67	60.84	75.98	66.33	84.45
Gene2	39.45	85.04	77.22	93.47	39.17	98.0	40.12	63.34	70.06	68.69
Gene3	47.17	44.99	8.43	48.17	57.99	42.98	39.36	0.91	10.89	1.53
Gene4	0.6	29.85	93.68	99.83	59.33	66.58	97.36	61.73	38.13	84.76
Gene5	75.0	25.52	18.22	72.14	59.03	40.48	77.92	71.82	89.36	61.75
Gene6	77.62	67.87	30.3	16.59	29.74	38.3	68.03	71.86	34.56	8.0
Gene7	18.56	2.98	1.62	15.15	60.08	9.37	35.57	62.6	90.96	23.59
Gene8	50.78	4.42	34.03	59.56	63.73	61.23	79.99	90.47	49.9	63.83
Gene9	0.97	85.19	46.48	48.58	10.21	53.48	90.24	99.58	92.44	57.02
Gene10	9.7	36.2	11.51	39.68	23.69	96.05	57.03	68.52	70.41	70.14
# the first 10 genes are the most important
Gene11	0.5	12.86	79.82	18.9	31.33	53.88	74.47	12.22	19.34	45.14
Gene12	80.29	1.61	86.18	11.54	16.26	75.15	43.01	34.29	11.4	65.88
Gene13	27.65	32.04	42.4	36.43	19.72	43.22	41.74	47.56	80.44	9.85
Gene14	94.69	15.13	29.66	89.06	29.67	38.95	69.76	74.09	56.67	92.42
Gene15	94.23	65.82	90.01	28.13	52.09	7.47	96.15	94.77	41.05	21.04
Gene16	12.99	20.78	87.88	36.69	67.98	57.4	68.25	24.88	78.03	32.76
Gene17	3.66	94.18	92.69	33.58	41.98	51.79	68.07	93.57	60.49	12.82
Gene18	80.13	78.21	98.42	5.89	57.13	3.68	10.75	0.0	30.82	23.3
Gene19	57.72	9.33	45.85	50.56	31.51	14.99	85.55	9.65	99.78	14.2
Gene20	63.01	47.85	21.23	38.32	86.78	67.0	46.38	72.05	71.02	71.82
Gene21	99.71	34.15	13.98	5.74	25.02	12.86	97.52	74.42	33.82	9.7
Gene22	82.68	53.99	58.38	14.14	66.5	99.94	24.66	65.84	81.38	67.98
Gene23	73.75	29.5	15.46	16.58	35.31	89.39	99.95	37.64	8.55	46.86
Gene24	16.02	29.7	34.15	49.18	12.41	19.54	33.83	38.2	77.65	98.24
Gene25	42.28	79.61	2.24	15.54	76.78	20.43	79.02	92.36	24.04	35.64
Gene26	16.91	49.34	47.99	30.0	28.13	98.16	71.11	79.31	72.61	80.64
Gene27	6.43	92.46	48.06	6.0	25.76	51.09	66.99	25.22	56.26	93.3
Gene28	21.63	47.4	68.73	84.53	27.22	52.52	26.62	70.11	37.34	7.17
Gene29	48.25	27.27	78.51	25.07	13.73	57.75	8.49	39.44	88.19	53.75
Gene30	82.51	18.64	24.62	3.25	98.51	74.71	82.06	61.6	59.47	86.56
Gene31	57.54	87.23	52.76	74.04	65.4	81.57	46.08	66.25	3.01	30.44
Gene32	19.17	20.87	94.3	43.19	1.72	31.93	66.6	4.66	79.07	87.14
Gene33	8.7	35.12	47.4	0.19	37.96	55.2	82.57	46.29	62.39	70.56
Gene34	7.74	95.5	10.14	67.3	73.7	66.85	70.97	49.88	91.29	76.25
Gene35	87.05	58.65	16.92	89.72	73.19	12.38	0.84	49.28	38.85	51.74
Gene36	63.2	46.73	62.33	69.05	7.21	84.58	51.86	49.65	39.83	15.55
Gene37	45.59	45.06	53.8	26.83	82.97	81.48	88.88	50.1	47.43	58.99
Gene38	74.74	72.56	35.74	51.6	0.82	48.86	86.25	47.81	16.08	54.73
Gene39	35.7	79.77	62.44	7.8	67.75	38.45	21.52	13.08	97.33	99.33
Gene40	38.9	3.02	77.71	15.9	25.24	56.45	7.11	45.5	59.56	84.86
Gene41	56.23	81.75	35.3	53.1	52.86	63.52	69.47	79.01	73.48	81.0
Gene42	21.54	99.26	24.41	26.09	95.75	54.96	37.93	16.86	44.69	66.47
Gene43	55.82	29.21	56.19	49.53	9.29	48.84	35.92	48.48	70.48	59.61
Gene44	59.68	26.65	92.38	6.33	54.18	98.63	74.27	21.14	30.37	42.33
Gene45	40.63	80.9	76.61	42.99	72.02	68.54	59.84	43.15	70.61	91.94
Gene46	75.88	83.81	74.27	46.79	72.95	47.71	80.85	79.22	25.95	7.42
Gene47	85.04	90.24	61.23	91.78	93.32	97.24	36.57	56.11	32.05	8.03
Gene48	0.95	50.68	90.92	57.11	62.01	85.12	89.54	42.45	61.76	64.45
Gene49	30.61	29.4	77.99	78.39	46.03	70.45	13.24	8.92	43.86	6.34
Gene50	13.84	93.71	56.56	20.84	71.52	32.23	24.12	68.03	38.64	68.89
Gene51	58.05	40.71	7.27	89.02	69.63	50.51	26.9	33.63	53.73	23.65
Gene52	23.67	80.62	14.71	96.11	45.25	84.81	18.36	36.91	43.99	67.17
Gene53	7.73	45.96	83.52	55.68	92.26	19.72	30.18	5.64	72.99	21.99
Gene54	85.2	32.87	48.21	22.93	31.39	52.17	99.57	51.83	85.12	61.07
Gene55	8.94	55.4	74.54	36.9	30.38	71.61	76.32	52.05	1.24	59.55
Gene56	30.96	79.19	50.93	71.95	94.95	44.4	93.19	29.3	29.08	1.49
Gene57	5.36	12.71	39.22	4.35	23.24	46.26	20.28	77.07	75.58	54.66
Gene58	54.22	54.47	34.05	35.76	39.27	12.41	76.86	92.66	56.74	0.86
Gene59	17.56	3.96	38.07	30.87	12.56	1.59	48.57	11.59	76.23	98.75
Gene60	62.18	53.1	91.87	7.43	94.47	30.68	97.77	47.08	19.85	74.81
Gene61	61.39	11.38	33.12	73.41	30.78	17.03	72.39	54.65	62.77	79.43
Gene62	53.93	72.1	14.23	81.85	72.6	11.94	93.82	34.03	44.02	8.36
Gene63	96.87	80.4	0.11	78.63	14.63	88.59	85.14	27.03	41.88	11.54
